mprage_Subj10_NS,100010_MPRAGE
mprage_Subj1_NS,100001_MPRAGE
mprage_Subj2_NS,100002_MPRAGE
mprage_Subj3_NS,100003_MPRAGE
mprage_Subj4_NS,100004_MPRAGE
mprage_Subj5_NS,100005_MPRAGE
mprage_Subj6_NS,100006_MPRAGE
mprage_Subj7_NS,100007_MPRAGE
mprage_Subj8_NS,100008_MPRAGE
mprage_Subj9_NS,100009_MPRAGE
glucestmap_Subj9_NS.dcm,100009_B0B1CESTMAP
b0map_Subj10_NS.dcm,100010_B0MAP
b0map_Subj1_NS.dcm,100001_B0MAP
b0map_Subj2_NS.dcm,100002_B0MAP
b0map_Subj3_NS.dcm,100003_B0MAP
b0map_Subj4_NS.dcm,100004_B0MAP
b0map_Subj5_NS.dcm,100005_B0MAP
b0map_Subj6_NS.dcm,100006_B0MAP
b0map_Subj7_NS.dcm,100007_B0MAP
b0map_Subj8_NS.dcm,100008_B0MAP
b0map_Subj9_NS.dcm,100009_B0MAP
b1map_Subj10_NS.dcm,100010_B1MAP
b1map_Subj1_NS.dcm,100001_B1MAP
b1map_Subj2_NS.dcm,100002_B1MAP
b1map_Subj3_NS.dcm,100003_B1MAP
b1map_Subj4_NS.dcm,100004_B1MAP
b1map_Subj5_NS.dcm,100005_B1MAP
b1map_Subj6_NS.dcm,100006_B1MAP
b1map_Subj7_NS.dcm,100007_B1MAP
b1map_Subj8_NS.dcm,100008_B1MAP
b1map_Subj9_NS.dcm,100009_B1MAP
glucestmap_Subj10_NS.dcm,100010_B0B1CESTMAP
glucestmap_Subj1_NS.dcm,100001_B0B1CESTMAP
glucestmap_Subj2_NS.dcm,100002_B0B1CESTMAP
glucestmap_Subj3_NS.dcm,100003_B0B1CESTMAP
glucestmap_Subj4_NS.dcm,100004_B0B1CESTMAP
glucestmap_Subj5_NS.dcm,100005_B0B1CESTMAP
glucestmap_Subj6_NS.dcm,100006_B0B1CESTMAP
glucestmap_Subj7_NS.dcm,100007_B0B1CESTMAP
glucestmap_Subj8_NS.dcm,100008_B0B1CESTMAP
mprage_Subj10_S,200010_MPRAGE
mprage_Subj1_S,200001_MPRAGE
mprage_Subj2_S,200002_MPRAGE
mprage_Subj3_S,200003_MPRAGE
mprage_Subj4_S,200004_MPRAGE
mprage_Subj5_S,200005_MPRAGE
mprage_Subj6_S,200006_MPRAGE
mprage_Subj7_S,200007_MPRAGE
mprage_Subj8_S,200008_MPRAGE
b0map_Subj10_S.dcm,200010_B0MAP
b0map_Subj1_S.dcm,200001_B0MAP
b0map_Subj2_S.dcm,200002_B0MAP
b0map_Subj3_S.dcm,200003_B0MAP
b0map_Subj4_S.dcm,200004_B0MAP
b0map_Subj5_S.dcm,200005_B0MAP
b0map_Subj6_S.dcm,200006_B0MAP
b0map_Subj7_S.dcm,200007_B0MAP
b0map_Subj8_S.dcm,200008_B0MAP
b1map_Subj10_S.dcm,200010_B1MAP
b1map_Subj1_S.dcm,200001_B1MAP
b1map_Subj2_S.dcm,200002_B1MAP
b1map_Subj3_S.dcm,200003_B1MAP
b1map_Subj4_S.dcm,200004_B1MAP
b1map_Subj5_S.dcm,200005_B1MAP
b1map_Subj6_S.dcm,200006_B1MAP
b1map_Subj7_S.dcm,200007_B1MAP
b1map_Subj8_S.dcm,200008_B1MAP
glucestmap_Subj10_S.dcm,200010_B0B1CESTMAP
glucestmap_Subj1_S.dcm,200001_B0B1CESTMAP
glucestmap_Subj2_S.dcm,200002_B0B1CESTMAP
glucestmap_Subj3_S.dcm,200003_B0B1CESTMAP
glucestmap_Subj4_S.dcm,200004_B0B1CESTMAP
glucestmap_Subj5_S.dcm,200005_B0B1CESTMAP
glucestmap_Subj6_S.dcm,200006_B0B1CESTMAP
glucestmap_Subj7_S.dcm,200007_B0B1CESTMAP
glucestmap_Subj8_S.dcm,200008_B0B1CESTMAP
